class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.68712647,-55.67923638,1.098,-55.67923638,-47.56885972
1,40.70545161,-54.62253213,1.098,-54.62253213,-47.5050742
1,31.96513386,-61.75790449,0.873,-50.90101115,-47.24342093
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,28.45462116,-64.45730986,0.864,-49.21846223,-47.24889045
1,16.81130008,-66.89203257,0.864,-44.17844411,-44.17844411
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.91430254,-58.12930819,0.909,-51.79957671,-47.31794239
0,0,0,0,0,0
1,40.04463131,-54.33878689,1.062,-54.33878689,-47.42009948
0,0,0,0,0,0
0,0,0,0,0,0
1,40.89421672,-54.98850915,1.074,-54.98850915,-47.53349066
0,0,0,0,0,0
1,36.76551349,-53.18509493,0.933,-53.18509493,-47.38132981
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.57465101,-53.51035148,1.014,-53.51035148,-47.39810287
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,25.47355521,-65.30223709,0.867,-47.76322137,-47.28131292
1,41.32076858,-55.01453053,1.113,-55.01453053,-47.54786425
0,0,0,0,0,0
0,0,0,0,0,0
1,39.06856886,-54.20108428,1.002,-54.20108428,-47.42305269
1,21.8038343,-51.27187732,1.014,-43.17779969,-43.17779969
0,0,0,0,0,0
0,0,0,0,0,0
1,37.88676155,-53.47045786,0.981,-53.47045786,-47.3991262
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.09643615,-52.95970807,1.086,-52.95970807,-47.4170887
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.4979649,-55.80002231,0.918,-51.18933391,-47.29852588
1,35.95867185,-51.39706518,1.008,-51.39706518,-47.33467847
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.17096066,-55.34484609,1.074,-55.34484609,-47.49606713
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,22.65181529,-68.94775795,0.84,-47.21285137,-47.21285137
0,0,0,0,0,0
1,39.94410367,-54.75941353,1.026,-54.75941353,-47.48040991
0,0,0,0,0,0
0,0,0,0,0,0
1,42.19441741,-56.03997869,1.119,-56.03997869,-47.55553624
1,28.40754229,-66.398948,0.849,-49.5073438,-47.21040998
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,37.42865156,-52.56357294,1.02,-52.56357294,-47.38991693
1,39.44327793,-53.64231,1.077,-53.64231,-47.45019074
1,18.70782991,-49.59731444,1.062,-40.82245373,-40.82245373
1,33.52142335,-53.15558219,0.933,-50.84531431,-47.35517948
1,24.32226566,-64.39078803,0.873,-47.11432001,-47.11432001
1,33.83980776,-50.22780959,0.984,-50.22780959,-47.35582661
1,31.11921133,-66.19556932,0.849,-50.98351375,-47.26465054
0,0,0,0,0,0
0,0,0,0,0,0
1,37.76769285,-53.70631089,0.954,-53.70631089,-47.41039214
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,36.77035953,-52.04369742,1.014,-52.04369742,-47.38049807
0,0,0,0,0,0
1,35.58458809,-52.9615984,0.939,-52.35747835,-47.33763469
0,0,0,0,0,0
0,0,0,0,0,0
1,24.07876469,-61.69905062,0.891,-46.38863546,-46.38863546
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,43.15826022,-56.76721383,1.176,-56.76721383,-47.68974424
0,0,0,0,0,0
1,18.20612231,-60.94729073,0.921,-43.51627938,-43.51627938
0,0,0,0,0,0
1,36.46285114,-52.4262802,0.963,-52.4262802,-47.39221034
0,0,0,0,0,0
0,0,0,0,0,0
1,36.69829843,-53.00241226,0.957,-53.00241226,-47.40762096
1,39.71717013,-54.40949651,1.035,-54.40949651,-47.44901504
0,0,0,0,0,0
1,31.48518262,-64.10707013,0.87,-50.91758357,-47.256013
1,33.56168118,-61.77943426,0.888,-51.97436783,-47.27492261
0,0,0,0,0,0
0,0,0,0,0,0
1,31.33601806,-48.18314426,1.014,-48.18314426,-47.44729633
1,41.42597779,-55.3255099,1.092,-55.3255099,-47.49905442
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.79953713,-55.28082164,1.041,-55.28082164,-47.51885181
0,0,0,0,0,0
1,26.67795921,-49.59135645,1.005,-45.70250426,-45.70250426
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,30.36801037,-52.23728742,0.954,-48.47543296,-47.39065774
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,39.03874266,-53.94204267,1.014,-53.94204267,-47.43485883
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,28.84753357,-61.91705848,0.882,-49.08591974,-47.30034409
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,38.36814742,-53.24740731,1.02,-53.24740731,-47.43295792
1,36.27019799,-51.10233889,1.053,-51.10233889,-47.38987434
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,31.3221857,-59.95361225,0.897,-50.31125491,-47.27288867
0,0,0,0,0,0
0,0,0,0,0,0
1,37.65643585,-52.11701752,1.05,-52.11701752,-47.36264218
0,0,0,0,0,0
1,8.342634106,-67.60779529,0.876,-41.54222605,-41.54222605
1,38.87230182,-54.24553005,0.975,-54.24553005,-47.46296495
0,0,0,0,0,0
1,26.22705633,-43.95586419,1.089,-43.95586419,-43.95586419
1,40.72865696,-54.77503382,1.077,-54.77503382,-47.47563169
0,0,0,0,0,0
1,28.96398036,-66.9692431,0.855,-49.88440653,-47.18857293
0,0,0,0,0,0
0,0,0,0,0,0
1,35.75497889,-55.91786235,0.909,-52.89843144,-47.35344728
1,35.54359577,-51.79372555,0.972,-51.79372555,-47.30857046
0,0,0,0,0,0
1,42.61261912,-56.36862582,1.119,-56.36862582,-47.69386323
1,41.91967581,-55.7065023,1.11,-55.7065023,-47.54060516
1,29.63240139,-57.19603654,0.924,-48.77346598,-47.35261324
1,37.54326471,-53.14926611,0.978,-53.14926611,-47.4320322
0,0,0,0,0,0
0,0,0,0,0,0
1,34.69500091,-57.05764839,0.903,-52.21104501,-47.32731728
0,0,0,0,0,0
1,25.5671825,-56.05829431,0.939,-46.17881633,-46.17881633
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.53967973,-54.93489008,1.047,-54.93489008,-47.51788358
0,0,0,0,0,0
